dYear,est,ist,imf_by,em,f107,dst
2023.781392694064,2.8,1.2,-11.5,2.126295,147.85185,4.0
2023.781506849315,6.3,2.7,-10.0,1.129475,147.85185,9.0
2023.7816210045662,13.3,5.7,-7.7,0.583668,147.85185,19.0
2023.7817351598173,9.8,4.2,7.5,0.257628,147.85185,14.0
2023.7818493150685,10.5,4.5,0.5,0.001082,147.85185,15.0
2023.7819634703196,8.4,3.6,-12.9,1.14816,147.85185,12.0
2023.7820776255708,4.9,2.1,-22.3,4.803462,147.85185,7.0
2023.782191780822,-0.7,-0.3,-16.8,1.926237,147.85185,-1.0
2023.782305936073,5.6,2.4,-3.6,0.103264,147.85185,8.0
2023.7824200913242,7.7,3.3,-8.0,3.339331,147.85185,11.0
2023.7825342465753,1.4,0.6,-9.7,0.908506,147.85185,2.0
2023.7826484018265,6.3,2.7,-7.9,1.501884,147.85185,9.0
2023.7827625570776,0.7,0.3,-12.8,1.683481,147.85185,1.0
2023.7828767123287,0.0,0.0,-11.0,1.144404,147.85185,0.0
2023.7829908675799,1.4,0.6,-4.0,0.249077,147.85185,2.0
2023.783105022831,-2.8,-1.2,-11.6,1.212848,147.85185,-4.0
2023.7832191780822,-4.9,-2.1,-11.1,1.617387,147.85185,-7.0
2023.7833333333333,-7.0,-3.0,-4.7,0.790945,147.85185,-10.0
2023.7834474885844,-5.6,-2.4,-4.3,0.530083,147.85185,-8.0
2023.7835616438356,-2.1,-0.9,-3.8,0.460537,148.62962,-3.0
2023.7836757990867,-3.5,-1.5,-2.2,0.309861,148.62962,-5.0
2023.7837899543379,-6.3,-2.7,-1.1,0.058286,148.62962,-9.0
2023.783904109589,-8.4,-3.6,-0.1,0.000758,148.62962,-12.0
2023.7840182648401,-7.7,-3.3,-0.2,0.003564,148.62962,-11.0
2023.7841324200913,-6.3,-2.7,-1.0,0.119357,148.62962,-9.0
2023.7842465753424,-7.0,-3.0,-1.1,0.28875,148.62962,-10.0
2023.7843607305936,-5.6,-2.4,0.1,0.250456,148.62962,-8.0
2023.7844748858447,-8.4,-3.6,0.6,0.078672,148.62962,-12.0
2023.7845890410958,-6.3,-2.7,-1.1,0.100332,148.62962,-9.0
2023.784703196347,-7.0,-3.0,-1.5,0.301893,148.62962,-10.0
2023.7848173515981,-4.9,-2.1,-1.7,0.185467,148.62962,-7.0
2023.7849315068493,-2.8,-1.2,-2.7,0.464762,148.62962,-4.0
2023.7850456621004,-1.4,-0.6,-2.0,0.23492,148.62962,-2.0
2023.7851598173515,0.0,0.0,-2.0,0.161835,148.62962,0.0
2023.7852739726027,0.7,0.3,-1.2,0.061208,148.62962,1.0
2023.7853881278538,0.7,0.3,0.2,0.002328,148.62962,1.0
2023.785502283105,-0.7,-0.3,-0.8,0.479946,148.62962,-1.0
2023.785616438356,-2.1,-0.9,0.3,0.269691,148.62962,-3.0
2023.7857305936072,-0.7,-0.3,0.4,0.014856,148.62962,-1.0
2023.7858447488584,1.4,0.6,-1.7,0.495422,148.62962,2.0
2023.7859589041095,3.5,1.5,0.5,0.034846,148.62962,5.0
2023.7860730593607,2.8,1.2,-2.0,0.374773,148.62962,4.0
2023.7861872146118,1.4,0.6,-0.3,0.008771,148.62962,2.0
2023.786301369863,0.7,0.3,-1.1,0.121976,149.14815,1.0
2023.786415525114,0.0,0.0,-0.2,0.004175,149.14815,0.0
2023.7865296803652,0.0,0.0,-1.3,0.190478,149.14815,0.0
2023.7866438356164,-0.7,-0.3,-1.1,0.13677,149.14815,-1.0
2023.7867579908675,-0.7,-0.3,0.1,0.000744,149.14815,-1.0
2023.7868721461186,-0.7,-0.3,1.4,0.167389,149.14815,-1.0
2023.7869863013698,-0.7,-0.3,1.4,0.173865,149.14815,-1.0
2023.787100456621,1.4,0.6,-0.1,0.000555,149.14815,2.0
2023.787214611872,1.4,0.6,-0.8,0.027457,149.14815,2.0
2023.7873287671232,0.7,0.3,-0.1,0.001124,149.14815,1.0
2023.7874429223743,-1.4,-0.6,-1.0,0.086364,149.14815,-2.0
2023.7875570776255,0.7,0.3,-1.6,0.14106,149.14815,1.0
2023.7876712328766,1.4,0.6,-1.1,0.064319,149.14815,2.0
2023.7877853881278,1.4,0.6,0.7,0.079823,149.14815,2.0
2023.787899543379,0.0,0.0,0.2,0.201991,149.14815,0.0
2023.78801369863,0.0,0.0,0.1,0.081756,149.14815,0.0
2023.7881278538812,-1.4,-0.6,-0.2,0.092464,149.14815,-2.0
2023.7882420091323,-2.8,-1.2,-0.1,0.116775,149.14815,-4.0
2023.7883561643835,-2.1,-0.9,0.5,0.04638,149.14815,-3.0
2023.7884703196346,-2.8,-1.2,0.2,0.278462,149.14815,-4.0
2023.7885844748857,-1.4,-0.6,-0.1,0.418862,149.14815,-2.0
2023.7886986301369,0.7,0.3,-0.3,0.415553,149.14815,1.0
2023.788812785388,-0.7,-0.3,-1.6,0.532614,149.14815,-1.0
2023.7889269406392,0.7,0.3,-1.9,0.384111,149.14815,1.0
2023.7890410958903,2.1,0.9,-2.6,0.4797,149.55556,3.0
2023.7891552511417,2.8,1.2,-2.5,0.403976,149.55556,4.0
2023.7892694063928,2.1,0.9,-2.0,0.23859,149.55556,3.0
2023.789383561644,0.7,0.3,0.6,0.265081,149.55556,1.0
2023.789497716895,0.0,0.0,1.1,0.425953,149.55556,0.0
2023.7896118721462,0.0,0.0,-0.2,0.008735,149.55556,0.0
2023.7897260273974,-2.1,-0.9,0.4,0.204686,149.55556,-3.0
2023.7898401826485,-2.1,-0.9,0.0,0.0,149.55556,-3.0
2023.7899543378996,-3.5,-1.5,-0.4,0.009692,149.55556,-5.0
2023.7900684931508,-3.5,-1.5,-0.1,0.074978,149.55556,-5.0
2023.790182648402,-2.1,-0.9,0.1,0.173703,149.55556,-3.0
2023.790296803653,0.0,0.0,-0.2,0.004888,149.55556,0.0
2023.7904109589042,1.4,0.6,-0.1,0.001233,149.55556,2.0
